top - 00:08:40 up  5:36,  1 user,  load average: 0.02, 0.04, 0.05
Tasks: 315 total,   1 running, 313 sleeping,   0 stopped,   1 zombie
%Cpu(s):  4.0 us,  4.0 sy,  0.0 ni, 88.0 id,  4.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.8 total,    531.4 free,   1368.5 used,   2274.1 buff/cache     
MiB Swap:   3719.0 total,   3467.1 free,    251.9 used.   2499.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1841 colord    20   0  320168  13068   8372 S   0.0   0.3   0:00.10 colord
   1888 root      20   0  316576   8048   6808 S   0.0   0.2   0:00.09 upowerd
   2225 root      20   0  390056  10936   9144 S   0.0   0.3   0:00.06 gdm-ses+
   2236 spongeb+  20   0   21428  10792   8468 S   0.0   0.3   0:02.63 systemd
   2240 spongeb+  20   0   21476   2240   1804 S   0.0   0.1   0:00.00 (sd-pam)
   2255 spongeb+   9 -11  116596  12376   7724 S   0.0   0.3   0:04.63 pipewire
   2259 spongeb+  20   0   97744   4560   3928 S   0.0   0.1   0:00.01 pipewire
   2262 spongeb+   9 -11  406804  14128  10108 S   0.0   0.4   0:00.60 wireplu+
   2265 spongeb+   9 -11  130728  19808   9704 S   0.0   0.5   0:01.80 pipewir+
   2267 spongeb+  20   0  316516  10104   8932 S   0.0   0.3   0:00.36 gnome-k+
   2268 spongeb+  20   0   11028   6632   4712 S   0.0   0.2   0:02.78 dbus-da+
   2309 spongeb+  20   0  758796   7900   7196 S   0.0   0.2   0:00.32 xdg-doc+
   2313 spongeb+  20   0  309444   6264   5808 S   0.0   0.2   0:00.09 xdg-per+
   2320 root      20   0    2712   2052   1936 S   0.0   0.1   0:00.00 fusermo+
   2361 spongeb+  20   0  235676   6144   5820 S   0.0   0.2   0:00.05 gdm-way+
   2365 spongeb+  20   0  298244  14348  12544 S   0.0   0.4   0:00.02 gnome-s+
   2415 spongeb+  20   0  162660   6036   5588 S   0.0   0.2   0:00.01 gcr-ssh+
   2416 spongeb+  20   0   91556   5604   5308 S   0.0   0.1   0:00.00 gnome-s+
   2426 spongeb+  20   0  314292   7060   6544 S   0.0   0.2   0:00.46 gvfsd
